codigo,votos1,votos2,votos3,votos4,votos5,votos6,votos7,votos8,votos9,votos10,votos11,votos12,votos13,votos_validos
101,516,31087,527,258,1113,13997,25075,1466,1172,679,5595,33896,24245,139626
102,89,6941,58,62,218,2558,7033,392,253,144,1117,4461,8699,32025
103,367,22449,356,191,760,9163,17810,1090,817,552,5014,27479,13961,100009
104,51,4505,43,25,109,1852,4650,135,128,97,1636,2454,2997,18682
105,29,2167,32,10,89,468,1455,62,57,63,641,984,1444,7501
106,88,5413,61,42,152,2198,4991,240,163,138,1509,4810,3198,23003
107,39,3570,42,15,88,1282,2506,135,127,71,666,2844,2744,14129
108,200,14737,255,106,486,5129,9078,603,543,360,2387,14845,9403,58132
109,40,5500,162,61,96,1967,5362,261,204,95,912,3427,6163,24250
110,140,5575,130,88,207,3389,3843,416,483,233,1830,10623,3477,30434
111,123,10495,183,79,299,3175,5994,412,318,217,2007,9207,5533,38042
112,33,2814,33,14,79,1164,2419,67,54,69,626,1495,1633,10500
113,90,9581,162,64,261,3370,6598,368,320,152,1258,7898,6826,36948
114,224,8576,114,50,269,2609,5162,278,301,152,986,6084,6156,30961
115,52,10849,101,69,360,2219,5254,262,285,134,771,3676,6656,30688
116,55,324,24,7,5,264,982,20,5,8,127,357,594,2772
117,13,867,5,6,24,229,555,13,27,19,174,299,411,2642
118,97,8420,122,56,273,2447,6274,332,257,112,1014,5841,7473,32718
119,236,10215,188,141,512,5242,10161,521,394,413,3394,18479,14250,64146
120,17,1380,15,12,52,407,1276,58,37,55,445,692,1013,5459
201,425,28370,411,250,751,11092,22391,1280,1006,621,6619,34525,19024,126765
202,222,13183,122,100,414,4236,6513,423,414,218,2431,8788,4208,41272
203,201,8716,135,82,324,3146,6919,228,252,197,2797,10158,6259,39414
204,6,471,4,5,19,255,860,39,10,7,250,471,557,2954
205,48,3822,46,26,88,1128,2323,111,83,65,660,2628,2756,13784
206,60,5353,69,51,103,1746,3794,134,152,111,1441,4453,3764,21231
207,45,5862,39,57,171,1959,4265,139,158,94,841,3631,3686,20947
208,57,3417,48,25,83,1117,3075,108,86,71,839,3644,2388,14958
209,18,1232,25,15,40,738,2133,60,48,27,462,1898,1860,8556
210,273,11462,243,103,695,6667,11985,660,440,358,3473,23777,10095,70231
211,12,1618,20,21,39,390,1919,46,45,29,410,899,1660,7108
212,28,1699,28,23,75,847,1499,110,55,35,592,2192,1728,8911
213,66,1588,48,42,106,995,3143,185,66,87,482,5864,1813,14485
214,27,777,22,43,100,800,1025,61,22,49,279,2064,923,6192
215,16,398,20,8,34,375,1500,77,30,22,415,2624,747,6266
301,230,21838,2976,152,489,8284,16782,846,771,530,4650,9133,12326,79007
302,195,7832,397,67,234,5963,5091,297,245,274,2614,4343,3651,31203
303,179,10774,348,72,374,3803,7685,535,433,313,2303,9693,7792,44304
304,37,2031,129,18,90,761,2086,76,87,44,743,1288,753,8143
305,122,9805,433,68,315,2881,7313,279,175,249,1935,7030,4920,35525
306,32,1926,82,17,28,749,1536,61,95,121,717,915,974,7253
307,98,6792,582,54,274,2604,5213,245,177,214,1755,2830,3552,24390
308,84,5638,495,38,126,2373,5278,244,200,166,1459,2698,3841,22640
401,167,19461,209,123,548,4862,11720,666,664,354,2135,13141,11659,65709
402,36,6876,68,38,245,1815,3845,248,259,119,1122,4754,3695,23120
403,57,6428,75,32,157,1935,4437,210,232,184,717,4394,4984,23842
404,49,4642,50,26,121,1661,3121,182,168,80,1090,4605,2727,18522
405,64,7213,69,43,212,2008,3936,219,238,124,910,5057,4227,24320
406,23,3170,32,27,85,971,2117,112,97,59,328,1599,2182,10802
407,26,3687,25,15,131,954,2866,142,106,49,336,1486,3693,13516
408,20,3277,23,18,82,1056,2444,91,107,48,526,1745,2701,12138
409,30,4482,36,23,110,1032,2566,116,129,60,494,2876,3538,15492
410,86,2551,72,39,144,2029,3031,330,132,129,782,8293,1568,19186
501,142,3916,67,46,164,2315,4841,193,145,169,1306,6246,3251,22801
502,48,2957,54,36,219,2256,5809,207,105,115,1188,4853,4203,22050
503,79,2827,50,46,153,3198,4541,179,74,129,1199,3636,3179,19290
504,23,1297,16,13,78,749,1429,57,44,45,286,2338,1033,7408
505,47,1444,39,23,58,1182,2982,137,94,58,618,3092,1848,11622
506,39,1545,27,15,73,1159,2246,79,47,69,422,3555,1279,10555
507,25,1097,62,12,49,967,1877,110,24,50,416,1838,1233,7760
508,25,1912,21,9,30,657,2160,63,49,67,734,2473,1668,9868
509,19,752,19,9,35,442,1076,90,37,41,260,1124,496,4400
